,index,kouwei,huanjing,fuwu,comment,date
129,129,0.0,0,0.0,"
                        服务态度及其差，催客人，赶人，排队排到不通知直接不管客人了，这么多星都是刷的吧？
                ",04-05
130,130,4.0,4,4.0,"
                        吃过很多次了，仿荤菜是相当好吃
                ",04-04
131,131,3.0,4,4.0,"
                        素食丸子和东坡肉依然很饱腹。莴笋片份比较大。喜欢桃花泪。
                ",04-04
132,132,,4,,,
133,133,3.0,3,3.0,"
                        吃了很多草···对于肉食动物我来说，好吃是好吃，就是觉得没有真的肉，吃不饱，朋友请客，吃完了回家自己又煮了一碗面··面里面有鸡蛋又腊肉，只能说吃这个体验下，初一十五还是可以来的
                ",04-04
134,134,4.0,4,4.0,"
                        藏茶素食火锅 人气爆棚 等到七点半才开始吃 排位子的人巨多 环境还不错每个桌子配了帘子可以放下来很私密 但是放下来没多久我们就坚持不住了真的太闷了 服务员会问介不介意拼桌 可能也是因为我们介意才等了那么久 蘸碟用他家的秘制碟就不错 花生酱为主非常香但是这样吃素感觉热量也没低到哪儿去 爱情札萨味道不错 冰草海带结竹荪都好适合烫汤锅吃 素丸子之类的素肉我们都不太喜欢 还是素菜好吃一些 桃花泪也不错 可以解解花生酱蘸碟的腻
                ",04-04
135,135,,4,,,
136,136,,4,,,
137,137,,4,,,
138,138,,4,,,
139,139,,4,,,
140,140,,4,,,
141,141,4.0,4,4.0,"
                        跟一个师父一起去的，很不错，还有供养套餐。价格还可以，人均70块钱左右吧，蔬菜很卫生干净，服务也非常不错，生意太好有时候需要等，总体很赞，很清净的一个地方。
                ",04-03
142,142,4.0,4,3.0,"
                        第一次来吃全素火锅，朋友早早预约了，所以不到6点就到店，因为突然增加一位想让其换个位置，结果被告知座位已经预定完，可见生意很好。先说地理位置，在晶融汇旁边，走过去一眼就能看到，环境还行，服务确实只能说一般，我们吃完想聊会天都会被服务员催，不过确实看到还有很多人在等候也就认了。再说口味个人觉得一般，不过菜品很有创意，肉类都是素菜做的确实做的确实还有点像，三个人最后吃咯166打折下来不到130还是很划算的，总体来说是不错的。
                ",04-03
143,143,,4,,,
144,144,,4,,,
145,145,,4,,,
146,146,,4,,,
147,147,,4,,,
148,148,4.0,4,4.0,"
                        就喜欢，没有理由，喜欢他的味道
                ",04-03
149,149,4.0,4,4.0,"
                        想念一叶一世界的素食火锅了，服务，菜品、味道，没得说！
                ",04-03
150,150,,4,,,
151,151,0.0,1,0.0,"
                        味道相当一般，一次就够了。服务更是差的很，一直在催快点吃快点吃，那些比它火的多的馆子也没见过催人的而且态度冷漠很不客气的问:点这么多你们吃的完吗？事实证明我们吃完了。从来没见过如此服务的，一般服务员都会说:我建议您几位点这些菜就差不多了，不够可以再加完全没优点，绝对不会再去
                ",04-03
152,152,4.0,4,4.0,"
                        不错，吃过两次，家人也比较满意
                ",04-02
153,153,4.0,3,3.0,"
                        忘了照相。菜比较丰富，新鲜。丸子有肉的感觉~光盘行动的概念也非常不错，是这个时代很难得的。
                ",04-02
154,154,4.0,4,4.0,"
                        哈哈哈.刚吃完回来.觉得不错就分享给大家.就在金融会对过.去的晚所以没有等位.这是一家素食火锅.提倡光盘.店里环境就是古色古香的感觉.服务员态度都很好.而且做事都挺麻利的.菜品样数不少.价格也适中.新鲜度还是很好的.点完菜服务员会告诉你点的多不多.会建议你的.这点很好避免浪费.味道也是超级不错的.很喜欢的一家火锅店
                ",04-01
155,155,,4,,,
156,156,,4,,,
157,157,,4,,,
158,158,2.0,1,1.0,"
                        好几年前就在环球吃过这个品牌的素食火锅，没想到在太古里外面的居民楼里头开了家所谓的旗舰店（好像现在不叫旗舰店了）。环境嘈杂，反正感觉不好，完全不像一个素食店该有的清幽和安宁。服务，还好。只是在桌上还有很多菜的时候，见我们在聊天就催我们买单这个，真的很糟糕！难道还不允许吃个饭中场休息么？明明我们还有四五个菜没动啊。这种体验也是不会再去二盘了。另外就是一个劲的喊别人办会员的话，至少你的服务要让人家还想来继续消费才行啊。
                ",
159,159,,1,,,
160,160,,1,,,
161,161,,1,,,
162,162,4.0,4,4.0,"
                        很满意 比想象的好吃 特别推荐猴头菇丸子！
                ",04-01
163,163,3.0,3,3.0,"
                        提前一天预定了座位，5点过去的还没什么人，6点半出来已经坐满了团的4人餐，我们3个吃感觉分量差不多，因为都素菜，只有那个饼比较管饱。桃花泪还挺好喝的，问了下是桃胶熬的，有桂花蜜，但是不会甜得腻人，总体来说比较清爽
                ",04-01
164,164,,3,,,
165,165,,3,,,
166,166,,3,,,
167,167,3.0,4,3.0,"
                        来成都旅游，吃了好多顿重口味火锅最后一顿想尝尝不一样的，这家素火锅评价很好就来试试，最喜欢它家的新款甜品什么桃胶什么（全名记不得了），微甜还美颜，禧袋和冰草也都非常棒，新鲜爽口，对于我这种肉食爱好者而言，偶尔尝一次还挺不错的
                ",04-01
168,168,,4,,,
169,169,,4,,,
170,170,,4,,,
171,171,4.0,3,3.0,"
                        第一次吃素食，改变了我之前对素食的看法，之前对纯素食的概念是难以下咽的。朋友是素食主义，所以生日选择了一叶一世界。选择了春熙路店，就在太古里外，店面不是太大，但是位置很好找。晚饭点会排队，还好我们有提前定位。菜品比较新鲜，种类繁多可惜没有吃到素虾仁。素丸子做的真的好像肉的哦，口感不错。最推荐的是这家的蘸碟，秘制酱+黄豆+花生，味道真的很棒，让这么一大桌素材都吃的津津有味。锅底是藏茶的，一人一个小锅，属于比较清淡滋补的锅底。爱情扎萨也很好吃，一口气吃了两个。桃胶口感不错，里面还有桂花，饭前饭后各吃了一碗，毕竟饭量实在是太大了。冰草我一个人将近吃了一份，很新鲜。最后要说一下生日蛋糕，店家说不允许自带蛋奶制品，所以可以订购他家自制的蛋糕。用的是植物奶油，蛋糕底应该是青稞面做的。本来还是很怀疑这个蛋糕的味道。端出来卖相还不错，草莓比较新鲜，酸酸的配上奶油也不会那么腻。植物奶油比起之前吃的动物奶油也相对清爽很多，一人吃了一大块也不会觉得腻。再说服务态度，服务员还是比较热情的。以后想吃素食妥妥会选一叶一世界。
                ",04-01
172,172,,3,,,
173,173,,3,,,
174,174,,3,,,
175,175,,3,,,
176,176,,3,,,
177,177,,3,,,
178,178,2.0,4,1.0,"
                        味道就是清淡，可以吃多种蔬菜。营养。不难吃。服务太差
                ",03-31
179,179,3.0,3,4.0,"
                        锅盔是真心好吃 可以外卖锅盔就好了 味道没有阿心萨好
                ",03-30
180,180,3.0,3,3.0,"
                        下班太饿了确实不适合吃素，更何况是无肉不欢的人。4个人吃的4人餐，分量不是很足，爱情扎萨好吃呀，还有那个豆腐也超级好吃。其实偶尔吃素清清肠胃还是不错的。4人餐240员，会员打折后168元，很便宜哦。
                ",03-29
181,181,,3,,,
182,182,,3,,,
183,183,,3,,,
184,184,,3,,,
185,185,4.0,4,4.0,"
                        来了一万次 哈哈哈哈哈 😂不吃辣椒的我感觉现在升级的味碟有点辣…于是就只有打芝麻酱来吃 不过还是很不错的哟～适合妈妈阿姨那个级别的人来吃 不过热衷于素食的我也无敌喜欢这家店！物美价廉 环境也很好👍总之很赞～
                ",03-29
186,186,,4,,,
187,187,,4,,,
188,188,,4,,,
189,189,,4,,,
190,190,3.0,4,4.0,"
                        我吃过这家连锁店的两个点，菜品还是很丰富的多，吃了很多我平时没吃过的素菜。消费也不高，两个人200搓搓有余。。。就是等位子等的啊，太辛苦了，太慢了。。。。。
                ",03-29
191,191,3.0,3,3.0,"
                        计划旅行的时候，朋友就跟我热情推荐了这家店,品尝过之后让我对素餐有了特别的好感，原来素餐也很好吃呀！平时吃荤吃得多，吃一次素真的超级舒服，超级推荐这个花生芽，我第一次吃花生芽，感觉有点甜呐～好好次。锅底吃完都是清澈的，感觉非常好。
                ",03-28
192,192,,3,,,
193,193,,3,,,
194,194,,3,,,
195,195,,3,,,
196,196,,3,,,
197,197,,3,,,
198,198,3.0,2,2.0,"
                        好吃！素食火锅 清淡 美味 健康！
                ",03-28
199,199,4.0,3,3.0,"
                        菜品新鲜，锅底有特色，其实感觉最简单的锅底都不错，没必要点复杂的锅底。最喜欢秘制调料！房间有点拥挤！
                ",03-28
200,200,4.0,4,4.0,"
                        价格便宜，爱情扎萨很好吃，仿荤菜做的也很好吃，多吃素多积福保护环境，
                ",03-27
201,201,3.0,4,4.0,"
                        太素了，全部是素菜。锅底也是很清淡。爱情扎萨好吃！一起的小哥哥陆陆续续吃了三个😂平时成都吃的太油腻，可以去体验一下，清淡养生，但是！真的没有肉，无肉不欢的谨慎入！对了，春熙路的店很火，最好提前预定
                ",03-27
202,202,4.0,4,4.0,"
                        ""----------[店面环境]----------一叶一世界环境很好，宽敞明亮，坐位很多，桌子也很多，做起位置宽敞，可能是我们人不算多的的原因吧，感觉位置很宽敞，吃饭就是要环境安逸，喜欢这种有特色的装修，风格中规中矩还是值得肯定的，这个感觉我还是个人比较喜欢的。----------[地理位置]----------这家店就在太古里，与旁边的店相比，他家的生意相对还可以,这次是在附近耍，一行人走路走过去的，位置还是可以，不是太难找到，外面看起来环境还是不错，至少看起来卫生那些还是可以。----------[服务态度]----------招呼我们进来的员工态度不错，但是里面的服务员服务也还可以。没有玩手机啊那些的，然后他家貌似服务还是值得肯定的，我们吃的时候也有纸巾提供。点菜上菜那些还是比较积极的，服务上感受还是多不错。----------[菜品味道评价]----------今天终于有机会和朋友一起来吃这家传说中的一叶一世界。这家店的东西品相看起来都很不错，看起来是比较有食欲的，吃起来味道也很可以，和想象中的差不多，口感和味道各方面都很棒，总体的味道风格是值得肯定的，以后再来吃一盘也是值得的！！""
                ",03-26
203,203,4.0,4,4.0,"
                        非常不错，环境和菜品都很好，就是店面小，排队太久。
                ",03-26
204,204,,4,,,
205,205,,4,,,
206,206,4.0,3,4.0,"
                        很清淡，菜品新鲜，味道也不错，很喜欢
                ",03-25
207,207,4.0,4,4.0,"
                        成都的火锅吃了好多了.这家是很有特色的.素食者的火锅天堂啊.都是以蔬菜为主.还有些素丸子.特别好吃.就在太古里商圈这.每次去人都不少.需要提前预定下.味道不用说了.很好的呢.而且锅底都很健康.有鲜花的.菌菇的等等.味道都不错.是一个人一个小锅的那种.很干净.店里环境也很好.嘿嘿.吃光光还送一个祈福卡.集齐5张送单人套餐.很好的活动.也不浪费.
                ",03-25
208,208,,4,,,
209,209,,4,,,
210,210,,4,,,
211,211,3.0,3,4.0,"
                        因为朋友是素食主义者，所以这家店成为我们聚会的首选以及最多选。玉米和秋葵和好吃，仿荤的话推荐素排骨和丸子
                ",03-25
212,212,,3,,,
213,213,3.0,3,2.0,"
                        素食火锅，感觉还行吧，就是拼桌感觉不爽
                ",03-24
214,214,4.0,4,4.0,"
                        人气非常旺，素食很健康～挺不错
                ",03-23
215,215,4.0,4,4.0,"
                        清淡口味，喜欢，带父母来吃的，他们都说好！
                ",03-23
216,216,,4,,,
217,217,,4,,,
218,218,,4,,,
219,219,3.0,3,4.0,"
                        喜欢这样的创意 精致。清淡。人多到需要拼桌。
                ",03-23
220,220,4.0,4,4.0,"
                        第一次在一叶一世界订生日蛋糕，純素，奶油是用椰奶做的，奶油很香不腻。过生日在一叶一世界送一份宽面，还送100元代金券，真的太大气了，为一叶一世界点赞！
                ",03-22
221,221,,4,,,
222,222,4.0,4,4.0,"
                        在公司附近，经常来吃。油腻吃太多，吃这个比较清淡养身
                ",03-22
223,223,4.0,4,4.0,"
                        这家老板真是棒棒哒！聚有钱！之前是因为自己喜欢素食开的，没想过赚钱，只想把这种文化发扬光大！后来赚钱了开了很多家分店哈哈！现在在上海啊外地都还开了分店！长期吃素有助于身心健康呢！汤锅的味道也很鲜美！值得
                ",03-22
224,224,,4,,,
225,225,,4,,,
226,226,,4,,,
227,227,,4,,,
228,228,,4,,,
229,229,,4,,,
230,230,3.0,2,1.0,"
                        为了不排队，所以早早的来找位置，快六点的时候，里面位置几乎都是空的。但是服务员告知必须七点之前吃完，一个小时时间，煮汤，上菜，那如果一个小时没吃完呢？是让客人打包回去吃吗？之前来过一次，味道和菜品是没问题的，觉得还不错。但是这次来遇到这样，只有去吃其他的了！
                ",03-21
231,231,,2,,,
232,232,4.0,4,4.0,"
                        素食健康，菜品新鲜，环境不错，多次来吃了
                ",03-21
233,233,3.0,3,3.0,"
                        还不错 菜煮到最后喝点汤还多好喝的 假荤不是很好吃 烫素材好吃点，还有一个叫爱情巴扎的饼饼好吃。
                ",03-20
234,234,2.0,2,4.0,"
                        服务大于味道。锅底真的很一般，食材比较新鲜，但不是最最新鲜，竹荪泡太久，冰草品质也是中等，虫草花微干，总体还可以。不要嫌我挑剔，因为服务的小伙子真的是五星级水准，所以对待食材我也是按照五星级酒店的标准。希望食材的质量跟得上服务的质量，加油！下次一定会来。
                ",03-20
235,235,,2,,,
236,236,,2,,,
237,237,,2,,,
238,238,,2,,,
239,239,,2,,,
240,240,,2,,,
